"year";"mean_temp";"resid_temp";"site"
"P800046ABAL_clim.16";1976;12.3604613145192;-1.07917935185962;"P800046ABAL"
"P800046ABAL_clim.17";1977;12.1212941805522;-1.31834648582669;"P800046ABAL"
"P800046ABAL_clim.18";1978;11.3130269845327;-2.1266136818462;"P800046ABAL"
"P800046ABAL_clim.19";1979;12.720644235611;-0.718996430767895;"P800046ABAL"
"P800046ABAL_clim.20";1980;11.3950469493866;-2.04459371699228;"P800046ABAL"
"P800046ABAL_clim.21";1981;12.924535036087;-0.515105630291847;"P800046ABAL"
"P800046ABAL_clim.22";1982;13.2211507956187;-0.218489870760182;"P800046ABAL"
"P800046ABAL_clim.23";1983;14.3024051984151;0.862764532036245;"P800046ABAL"
"P800046ABAL_clim.24";1984;12.1046631336212;-1.33497753275764;"P800046ABAL"
"P800046ABAL_clim.25";1985;12.8211074670156;-0.618533199363297;"P800046ABAL"
"P800046ABAL_clim.26";1986;13.1955119768778;-0.244128689501022;"P800046ABAL"
"P800046ABAL_clim.27";1987;12.8951160113017;-0.544524655077206;"P800046ABAL"
"P800046ABAL_clim.28";1988;13.3002849419912;-0.139355724387698;"P800046ABAL"
"P800046ABAL_clim.29";1989;13.1729652086894;-0.266675457689493;"P800046ABAL"
"P800046ABAL_clim.30";1990;12.5010707378387;-0.938569928540119;"P800046ABAL"
"P800046ABAL_clim.31";1991;12.6968381404877;-0.742802525891189;"P800046ABAL"
"P800046ABAL_clim.32";1992;14.3185754617055;0.878934795326659;"P800046ABAL"
"P800046ABAL_clim.33";1993;13.2518467108409;-0.187793955538003;"P800046ABAL"
"P800046ABAL_clim.34";1994;14.3673868179321;0.92774615155326;"P800046ABAL"
"P800046ABAL_clim.35";1995;13.1876466274262;-0.251994038952715;"P800046ABAL"
"P800046ABAL_clim.36";1996;12.542870759964;-0.896769906414887;"P800046ABAL"
"P800046ABAL_clim.37";1997;12.6209789117177;-0.818661754661139;"P800046ABAL"
"P800046ABAL_clim.38";1998;13.8378987312317;0.398258064852808;"P800046ABAL"
"P800046ABAL_clim.39";1999;14.329683303833;0.890042637454153;"P800046ABAL"
"P800046ABAL_clim.40";2000;14.1961057980855;0.75646513170665;"P800046ABAL"
"P800046ABAL_clim.41";2001;13.541119257609;0.101478591230167;"P800046ABAL"
"P800046ABAL_clim.42";2002;14.4812208016714;1.04158013529249;"P800046ABAL"
"P800046ABAL_clim.43";2003;14.8762258688609;1.43658520248202;"P800046ABAL"
"P800046ABAL_clim.44";2004;13.1014955838521;-0.338145082526738;"P800046ABAL"
"P800046ABAL_clim.45";2005;13.3922460079193;-0.0473946584595524;"P800046ABAL"
"P800046ABAL_clim.46";2006;13.9998082319895;0.560167565610673;"P800046ABAL"
"P800046ABAL_clim.47";2007;14.5362408955892;1.09660022921033;"P800046ABAL"
"P800046ABAL_clim.48";2008;13.91295337677;0.473312710391152;"P800046ABAL"
"P800046ABAL_clim.49";2009;14.7143850326538;1.27474436627495;"P800046ABAL"
"P800046ABAL_clim.50";2010;13.7179476420085;0.278306975629588;"P800046ABAL"
"P800046ABAL_clim.51";2011;14.5405929883321;1.10095232195327;"P800046ABAL"
"P800046ABAL_clim.52";2012;14.7784501711527;1.33880950477386;"P800046ABAL"
"P800046ABAL_clim.53";2013;14.1218775908152;0.682236924436351;"P800046ABAL"
"P800046ABAL_clim.54";2014;14.1043968200684;0.664756153689508;"P800046ABAL"
"P800046ABAL_clim.55";2015;15.0971922079722;1.65755154159334;"P800046ABAL"
"P800046ABAL_clim.56";2016;14.8105340003967;1.37089333401785;"P800046ABAL"
"P800046ABAL_clim.57";2017;14.5768604278564;1.13721976147758;"P800046ABAL"
"P800046ABAL_clim.58";2018;16.4031335512797;2.96349288490083;"P800046ABAL"
"P800046ABAL_clim.59";2019;14.9543590545654;1.51471838818656;"P800046ABAL"
"P800046ABAL_clim.60";2020;13.8636240959168;0.423983429537888;"P800046ABAL"
"P800052QURO_clim.1";1961;14.3397086461385;-0.410809890429187;"P800052QURO"
"P800052QURO_clim.2";1962;13.2753143310547;-1.47520420551301;"P800052QURO"
"P800052QURO_clim.3";1963;14.8437520662943;0.0932335297266444;"P800052QURO"
"P800052QURO_clim.4";1964;14.5150272051493;-0.235491331418359;"P800052QURO"
"P800052QURO_clim.5";1965;12.8468369642893;-1.90368157227834;"P800052QURO"
"P800052QURO_clim.6";1966;13.9245052337647;-0.826013302803016;"P800052QURO"
"P800052QURO_clim.7";1967;14.4297930399577;-0.320725496610002;"P800052QURO"
"P800052QURO_clim.8";1968;14.1176934242249;-0.632825112342831;"P800052QURO"
"P800052QURO_clim.9";1969;14.2684541543325;-0.482064382235219;"P800052QURO"
"P800052QURO_clim.10";1970;13.4769198099772;-1.27359872659048;"P800052QURO"
"P800052QURO_clim.11";1971;14.3262780507406;-0.424240485827125;"P800052QURO"
"P800052QURO_clim.12";1972;13.6384420394898;-1.11207649707793;"P800052QURO"
"P800052QURO_clim.13";1973;13.8245139122009;-0.92600462436676;"P800052QURO"
"P800052QURO_clim.14";1974;13.4637060960134;-1.2868124405543;"P800052QURO"
"P800052QURO_clim.15";1975;14.6884032885234;-0.0621152480443286;"P800052QURO"
"P800052QURO_clim.16";1976;13.8717523415883;-0.878766194979359;"P800052QURO"
"P800052QURO_clim.17";1977;13.1927418708801;-1.55777666568756;"P800052QURO"
"P800052QURO_clim.18";1978;12.5457817713419;-2.20473676522574;"P800052QURO"
"P800052QURO_clim.19";1979;13.732131322225;-1.01838721434273;"P800052QURO"
"P800052QURO_clim.20";1980;12.4904096126556;-2.26010892391204;"P800052QURO"
"P800052QURO_clim.21";1981;14.0236031214396;-0.726915415128074;"P800052QURO"
"P800052QURO_clim.22";1982;14.6208377679189;-0.129680768648786;"P800052QURO"
"P800052QURO_clim.23";1983;15.3491954803467;0.59867694377898;"P800052QURO"
"P800052QURO_clim.24";1984;13.0268628597259;-1.72365567684175;"P800052QURO"
"P800052QURO_clim.25";1985;13.7524775664012;-0.998040970166521;"P800052QURO"
"P800052QURO_clim.26";1986;14.3751262029012;-0.375392333666497;"P800052QURO"
"P800052QURO_clim.27";1987;13.9003397623698;-0.850178774197911;"P800052QURO"
"P800052QURO_clim.28";1988;14.6174842516581;-0.133034284909566;"P800052QURO"
"P800052QURO_clim.29";1989;14.6190107663473;-0.131507770220431;"P800052QURO"
"P800052QURO_clim.30";1990;14.0410054524739;-0.709513084093746;"P800052QURO"
