"year";"min_spei1";"min_spei3";"mean_spei1";"mean_spei3";"site"
"P800052QURO_clim.25";1985;-0.770209373774997;0.555427434876201;0.508046579865694;1.12305720516761;"P800052QURO"
"P800052QURO_clim.26";1986;-0.840108045072165;-0.263719339054276;0.123734623653944;0.260280889734635;"P800052QURO"
"P800052QURO_clim.27";1987;-0.801716477463584;0.0829494771831368;0.632494678150747;1.03411149408172;"P800052QURO"
"P800052QURO_clim.28";1988;-1.01816056986987;-0.981018705951532;0.0597527567748613;0.0304716410491639;"P800052QURO"
"P800052QURO_clim.29";1989;-1.31304079889108;-0.979132397653113;-0.079364911886241;-0.401945784529457;"P800052QURO"
"P800052QURO_clim.30";1990;-1.26755994650574;-0.62235445049013;0.154256912889011;-0.000383714154468815;"P800052QURO"
"P800052QURO_clim.31";1991;-0.990699339109272;-1.02622754143214;0.247047436319568;0.27339334148955;"P800052QURO"
"P800052QURO_clim.32";1992;-1.55022024690032;-1.75108734236353;-0.698805778988658;-0.751386589697091;"P800052QURO"
"P800052QURO_clim.33";1993;-1.4393397880368;-1.97604912498537;-0.382586148049451;-0.802277053048864;"P800052QURO"
"P800052QURO_clim.34";1994;-1.69699127641673;-1.5211553800685;-0.131495671127847;-0.440874748636457;"P800052QURO"
"P800052QURO_clim.35";1995;-1.83142240660175;-0.0400017623061426;0.463854980129954;0.465179068589702;"P800052QURO"
"P800052QURO_clim.36";1996;-0.133574121249235;0.564067224361935;0.708647232250747;0.97538405918902;"P800052QURO"
"P800052QURO_clim.37";1997;-0.819524841849709;0.227587500315211;0.370022256467861;0.982807608297437;"P800052QURO"
"P800052QURO_clim.38";1998;-1.52088400453037;-1.47318610464708;-0.184395607385284;-0.750293125719789;"P800052QURO"
"P800052QURO_clim.39";1999;-1.04317994604117;-1.18570430730832;-0.182754030708696;-0.12015303433475;"P800052QURO"
"P800052QURO_clim.40";2000;-2.0812210969164;-2.04632213538256;-0.729875624571786;-0.605287027531064;"P800052QURO"
"P800052QURO_clim.41";2001;-0.849799489219399;-0.668063693829944;0.283573910908153;0.149463386080945;"P800052QURO"
"P800052QURO_clim.42";2002;-0.602848439988903;-0.554632471761515;0.216356899638754;0.00185094759299526;"P800052QURO"
"P800052QURO_clim.43";2003;-2.0940185170115;-2.07065990715827;-0.796027958703968;-1.42945733327097;"P800052QURO"
"P800052QURO_clim.44";2004;-0.96958092689936;-1.27790296356962;-0.415388767570087;-0.561978285606335;"P800052QURO"
"P800052QURO_clim.45";2005;-0.690094580641944;0.152603414954068;0.305030675397173;0.599755003934997;"P800052QURO"
"P800052QURO_clim.46";2006;-1.92448272006801;-1.23643147845901;-0.090515697231531;0.577235106802232;"P800052QURO"
"P800052QURO_clim.47";2007;-1.91457230383639;-1.88858004547263;-0.793780827612515;-1.33883594779551;"P800052QURO"
"P800052QURO_clim.48";2008;-0.897312058427683;-0.987752843017295;-0.378399010161982;-0.74186359660508;"P800052QURO"
"P800052QURO_clim.49";2009;-2.2127234339377;-0.124099295356329;-0.180884580522157;0.686319249790127;"P800052QURO"
"P800052QURO_clim.50";2010;0.453721108620596;0.0567229290196899;0.996060838288324;1.21787023710389;"P800052QURO"
"P800052QURO_clim.51";2011;-1.44831713224791;-1.43256230524447;-0.582137483067142;-0.761621487812189;"P800052QURO"
"P800052QURO_clim.52";2012;-1.34107820937814;-2.24112965452588;-0.5408232066567;-1.15675843308902;"P800052QURO"
"P800052QURO_clim.53";2013;-2.57349676192528;-1.52463903268053;-0.0695408487877064;0.273880096762126;"P800052QURO"
