"year";"min_bal";"mean_bal";"site"
"P800052QURO_clim.42";2002;-53.3374232185647;-27.5477230855411;"P800052QURO"
"P800052QURO_clim.43";2003;-122.923052352202;-61.961824445335;"P800052QURO"
"P800052QURO_clim.44";2004;-88.2427175787075;-47.123667564787;"P800052QURO"
"P800052QURO_clim.45";2005;-46.544428253617;-22.8690460813832;"P800052QURO"
"P800052QURO_clim.46";2006;-108.2752898251;-29.0435971752974;"P800052QURO"
"P800052QURO_clim.47";2007;-88.0557371060099;-56.4906276504421;"P800052QURO"
"P800052QURO_clim.48";2008;-70.8757782780269;-46.7010229182121;"P800052QURO"
"P800052QURO_clim.49";2009;-82.8162892410406;-30.7283263170024;"P800052QURO"
"P800052QURO_clim.50";2010;-27.1883085213843;-1.27958401930762;"P800052QURO"
"P800052QURO_clim.51";2011;-91.314347288118;-51.2617593017382;"P800052QURO"
"P800052QURO_clim.52";2012;-61.6825390658987;-49.2208721863461;"P800052QURO"
"P800052QURO_clim.53";2013;-135.999754676323;-36.1069791255714;"P800052QURO"
"P800052QURO_clim.54";2014;-97.3925860307069;-18.6619860220489;"P800052QURO"
"P800052QURO_clim.55";2015;-90.265159301702;-57.951934621025;"P800052QURO"
"P800052QURO_clim.56";2016;-84.3112639505843;-51.9994411804705;"P800052QURO"
"P800052QURO_clim.57";2017;-103.394128765116;-44.2548834207768;"P800052QURO"
"P800052QURO_clim.58";2018;-112.109837191096;-65.5926397787359;"P800052QURO"
"P800052QURO_clim.59";2019;-73.6101587972975;-36.1047765423571;"P800052QURO"
"P800052QURO_clim.60";2020;-61.2305282620371;-19.1817697327724;"P800052QURO"
"P800057FASY_clim.1";1961;-50.4054525539973;-15.0811719291065;"P800057FASY"
"P800057FASY_clim.2";1962;-80.4170822204744;-27.6575549652246;"P800057FASY"
"P800057FASY_clim.3";1963;-102.01616622472;-25.7528870565592;"P800057FASY"
"P800057FASY_clim.4";1964;-82.9351394807573;-26.118120264437;"P800057FASY"
"P800057FASY_clim.5";1965;-34.8475737644286;-1.25385563906057;"P800057FASY"
"P800057FASY_clim.6";1966;-34.8799825258196;-5.90048630416564;"P800057FASY"
"P800057FASY_clim.7";1967;-55.5314595319936;-26.8170670959164;"P800057FASY"
"P800057FASY_clim.8";1968;-70.5316451417948;-32.7623014732257;"P800057FASY"
"P800057FASY_clim.9";1969;-91.3070692108867;-31.6963950020758;"P800057FASY"
"P800057FASY_clim.10";1970;-47.2376343667633;-16.4980036306787;"P800057FASY"
"P800057FASY_clim.11";1971;-87.8286701621736;-39.5861557826118;"P800057FASY"
"P800057FASY_clim.12";1972;-41.8949195502598;3.73873045248075;"P800057FASY"
"P800057FASY_clim.13";1973;-64.3087912552072;-37.4027961556137;"P800057FASY"
"P800057FASY_clim.14";1974;-39.0368806628558;-21.9003228377094;"P800057FASY"
"P800057FASY_clim.15";1975;-47.5066126440669;-21.0730602487609;"P800057FASY"
"P800057FASY_clim.16";1976;-87.5786296181051;-41.6634587839664;"P800057FASY"
"P800057FASY_clim.17";1977;-42.9740407684782;-14.8415127953311;"P800057FASY"
"P800057FASY_clim.18";1978;-35.8155724954449;-22.0909580030965;"P800057FASY"
"P800057FASY_clim.19";1979;-65.2456797521048;-12.8146126021379;"P800057FASY"
"P800057FASY_clim.20";1980;-46.9746653790474;-10.426830021041;"P800057FASY"
"P800057FASY_clim.21";1981;-64.9844439514866;-27.6296387961831;"P800057FASY"
"P800057FASY_clim.22";1982;-46.5665285564755;-26.821404552313;"P800057FASY"
"P800057FASY_clim.23";1983;-106.24986465797;-47.2890640710445;"P800057FASY"
"P800057FASY_clim.24";1984;-51.7246531406013;-12.9470658155904;"P800057FASY"
"P800057FASY_clim.25";1985;-45.3027290566629;-9.99385828028125;"P800057FASY"
"P800057FASY_clim.26";1986;-47.3364556934853;-22.2665865812483;"P800057FASY"
